Detected Entities:
Entity: documented                | Label: ENTITY
Entity: conditions                | Label: ENTITY
Entity: findings                  | Label: ENTITY
Entity: patient                   | Label: ENTITY
Entity: Stress                    | Label: ENTITY
Entity: multiple entries          | Label: ENTITY
Entity: years                     | Label: ENTITY
Entity: Severe                    | Label: ENTITY
Entity: anxiety                   | Label: ENTITY
Entity: panic                     | Label: ENTITY
Entity: Social isolation          | Label: ENTITY
Entity: Acute bronchitis          | Label: ENTITY
Entity: Acute                     | Label: ENTITY
Entity: viral pharyngitis         | Label: ENTITY
Entity: Viral sinusitis           | Label: ENTITY
Entity: episodes                  | Label: ENTITY
Entity: Victim                    | Label: ENTITY
Entity: intimate partner abuse    | Label: ENTITY
Entity: Medication review         | Label: ENTITY
Entity: periods                   | Label: ENTITY
Entity: Employment                | Label: ENTITY
Entity: educational statuses      | Label: ENTITY
Entity: part-time                 | Label: ENTITY
Entity: full-time employment      | Label: ENTITY
Entity: labor force               | Label: ENTITY
Entity: educationùthese           | Label: ENTITY
Entity: social context            | Label: ENTITY
Entity: health record             | Label: ENTITY
truth Entities:
Entity: finding                   | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: anxiety                   | Label: ENTITY
Entity: panic                     | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Medication review         | Label: ENTITY
Entity: Part-time employment      | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Medication review         | Label: ENTITY
Entity: Viral sinusitis           | Label: ENTITY
Entity: disorder                  | Label: ENTITY
Entity: higher                    | Label: ENTITY
Entity: education                 | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Victim                    | Label: ENTITY
Entity: intimate partner abuse    | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Viral sinusitis           | Label: ENTITY
Entity: disorder                  | Label: ENTITY
Entity: Acute bronchitis          | Label: ENTITY
Entity: disorder                  | Label: ENTITY
Entity: Acute viral pharyngitis   | Label: ENTITY
Entity: disorder                  | Label: ENTITY
Entity: Social isolation          | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: labor force               | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Full-time employment      | Label: ENTITY
Entity: finding                   | Label: ENTITY
Entity: Full-time employment      | Label: ENTITY
Entity: finding                   | Label: ENTITY
